,city,lat,temp_max,lon,humidity,clouds,wind,country,dt
356,naze,28.3667,25.41,129.4833,88,87,4.12,JP,1629380448
357,russellville,35.2784,24.48,-93.1338,96,90,0.0,US,1629380702
358,faanui,-16.4833,24.82,-151.75,73,100,11.02,PF,1629380399
359,meadow lake,34.8014,19.95,-106.5436,56,0,0.99,US,1629380702
360,vila velha,-20.3297,25.97,-40.2925,61,75,3.6,BR,1629380382
361,saint-francois,46.4154,21.69,3.9054,56,90,2.06,FR,1629380703
362,canas,10.4294,24.92,-85.0931,83,72,0.75,CR,1629380704
363,aneho,6.2333,29.11,1.6,73,100,1.87,TG,1629380711
364,mao,39.8885,27.31,4.2658,57,20,2.57,ES,1629380711
365,port hardy,50.6996,14.1,-127.4199,100,90,2.06,CA,1629380467
366,altay,47.8667,17.07,88.1167,67,0,1.67,CN,1629380712
